"","sub_id","condition","SMD","NAP","TAU_U","glmm","pmg","brms_raw"
"26",13,1,13.2375224267988,1,1.06,1.3734717877207,0.796747967479675,18.9246193103438
"27",14,0,1.43914868452506,0.93,0.88,1.10513893735193,0.279279279279279,5.44989627705596
"28",14,1,4.23364673843749,0.98,0.82,1.16376276244747,0.433962264150943,11.0450944517284
"29",15,0,1.43427433120127,0.78,0.52,1.01014748700573,0.032258064516129,0.649625662348635
"30",15,1,3.71187284264965,0.92,0.9,1.35646892682615,0.558823529411765,16.6434422800657
"31",16,0,0.788589140408326,0.79,0.46,1.06866319898768,0.029126213592233,4.50326585055686
"32",16,1,7.90368690338039,1,1.08,1.29046822812426,0.80952380952381,17.4300978435344
"33",17,0,0.804984471899925,0.72,0.38,1.06723275604645,0.279279279279279,3.88381015457907
"34",17,1,11.7169962020989,1,0.98,1.52669331149583,0.871794871794872,19.7847871739211
"35",18,0,1.15738277320899,0.77,0.5,1.15727809563793,0.375,5.7678869035638
"36",18,1,1.0602495141513,0.81,0.6,1.0931875859405,0.324324324324324,6.7118309218785
"37",19,0,2.20625373779979,0.94,0.92,1.06812787131465,0.0178571428571429,4.53265445930062
"38",19,1,1.18992823461746,0.85,0.7,1.11069963287938,0.329896907216495,10.4969617894933
"39",20,0,1.91621517502991,0.96,0.8,1.11570704658708,0.297520661157025,5.0231557007563
"40",20,1,3.45469196191558,1,1.04,1.25696632540918,0.778761061946903,16.4576031948755
"41",21,0,1.96460996324775,0.91,0.84,1.02128792451082,0.0151515151515151,1.90608454973696
"42",21,1,6.39224530192639,1,0.98,1.56806947143072,0.821428571428571,20.2675031398586
"43",22,0,0.983521370237722,0.78,0.5,1.04668111137617,0.0833333333333333,2.35511622004282
"44",22,1,1.99632094045454,0.89,0.82,1.11629627923304,0.153225806451613,8.83145543570991
"45",23,0,0.166610432280149,0.51,-0.08,1.03463639597675,0.029126213592233,2.2675408705228
"46",23,1,3.43468209531689,0.96,0.92,1.34196639017802,0.776785714285714,18.4159816769861
"47",24,0,2.92118697336089,0.98,0.94,1.10338710030227,0.0647482014388489,5.63839035650858
"48",24,1,5.93295878967653,0.99,0.88,1.39050757854932,0.798387096774194,19.5055351748826
"49",25,0,1.50927993623646,0.93,0.76,1.05332856624234,0.0671641791044776,2.15738254910121
"50",25,1,1.92428094176946,0.93,0.76,1.12009764170818,0.111111111111111,6.92094437547623
"51",26,0,0.844007005946607,0.73,0.56,1.01709956673116,0.0598290598290598,2.75938708754696
"52",26,1,2.73039536029664,0.93,0.84,1.25820985982126,0.732142857142857,16.4470758818954
"53",27,0,1.04307238483242,0.78,0.42,1.05147751896971,0.144144144144144,3.20519999327398
"54",27,1,5.95164831345559,0.98,0.78,1.31196016731286,0.669421487603306,17.392608872782
"55",28,0,1.88151914306347,0.92,0.84,1.10870715548786,0.125,4.74939636428846
"56",28,1,4.94921233154355,0.98,1.08,1.3526579160915,0.912280701754386,20.5390615548196
"57",29,0,0.255603860169077,0.59,0.12,1.08345016472229,0.172932330827068,2.16796301507684
"58",29,1,2.03791096004734,0.99,0.94,1.07280352781824,0.147286821705426,4.27868286786719
"59",30,0,0.528462607260653,0.69,0.36,1.08895485710147,0.0551181102362205,0.57911428363646
"60",30,1,12.1435226708374,1,0.84,1.59537862210285,0.888059701492537,21.5832516793371
"61",31,0,1.33865604245452,0.9,0.86,1.07181950400147,0.510869565217391,4.70287103175634
"62",31,1,5.68097302805202,1,1.02,1.3742656005154,1,17.3189734682238
"63",32,0,3.05470129472589,0.93,0.88,1.05539722794996,0.260869565217391,4.191864270904
"64",32,1,6.17180123098457,0.98,0.9,1.34070114030655,0.61864406779661,17.5110567424952
"65",33,0,0.866053566754277,0.83,0.6,1.07979173749062,0.132231404958678,4.19368686194862
"66",33,1,11.3926291961074,0.97,1.02,1.21026593511587,0.631147540983607,12.7245873663204
"67",34,0,1.37151138466324,0.66,0.34,1.1208584964495,0.262295081967213,4.77839029079083
"68",34,1,10.912011730199,1,1.02,1.33532240817424,0.763779527559055,19.5502159717842
"69",35,0,0.280658566178249,0.56,-0.02,1.05701485544154,0.128787878787879,1.46127091786372
"70",35,1,1.28,0.82,0.6,1.04676739845427,0.111111111111111,3.05864974240478
"71",36,0,2.22087070012342,0.78,0.52,1.10087613052711,0.227272727272727,5.06559355119965
"72",36,1,6.20943563531267,0.98,0.86,1.4324186774892,0.872881355932203,20.1490985231866
"73",37,0,0.36925306510164,0.58,0.06,1.06037522512604,0.152542372881356,2.50264712028386
"74",37,1,0.681610293784207,0.69,0.44,1.02296965790764,-0.0330578512396694,3.92705098388213
"75",38,0,1.70519080330492,0.93,0.98,1.0926859467832,0.216417910447761,4.48430447914849
"76",38,1,1.528990294526,0.9,0.74,1.10940157675575,0.262295081967213,6.44520942475574
"77",39,0,-0.107871977994119,0.5,0.06,0.976174245172358,0.0384615384615385,1.44787417245463
"78",39,1,6.62135713961801,1,1.04,1.35972457055448,0.870689655172414,18.9669848210721
"79",40,0,1.24770058778409,0.71,0.32,1.09662715144834,0.285714285714286,5.41987645341428
"80",40,1,4.88,1,0.82,1.48123004318868,0.875,19.4689451865072
"81",41,0,0.977107837460839,0.78,0.72,1.08043622478018,0.351851851851852,4.98643787678461
"82",41,1,2.0562414819904,0.97,0.88,1.15654212922075,0.471153846153846,9.61122475940058
"83",42,0,1.00774360321032,0.8,0.46,1.05911602906928,0.1796875,1.48717234109813
"84",42,1,8.61750157141461,0.98,1,1.16187919274685,0.552845528455284,10.2698005214783
"85",43,0,1.58175645671895,0.93,0.7,1.05875653177374,0.145299145299145,4.44126938858589
"86",43,1,2.99813275223096,0.97,0.8,1.11818529268465,0.25,8.35969702587913
"87",44,0,2.32743635788393,0.82,0.64,1.13769346673291,0.454545454545455,7.58858156713407
"88",44,1,13.7690335795322,1,1,1.38834233209636,0.870689655172414,20.3088976243266
"89",45,0,0.57370973248051,0.68,0.32,1.01820836168757,-0.00775193798449613,1.59368126842903
"90",45,1,6.08210489879943,0.8,0.56,1.22672212121156,0.534883720930233,9.28483547013214
"91",46,0,1.21774119459813,0.82,0.5,1.12355249544148,0.236641221374046,4.3291027613041
"92",46,1,11.3785763608634,1,1.16,1.61278929430929,0.923664122137405,20.983340356867
"93",47,0,1.72,0.92,0.82,1.15817121071845,0.285714285714286,4.51985642432015
"94",47,1,9.28,1,1.04,1.38642633780708,0.703703703703704,18.860067217414
"95",48,0,2.77293037365579,0.9,0.76,1.10716413243882,0.191176470588235,3.15135022135565
"96",48,1,6.88708937069935,1,1.02,1.25725360824427,0.511278195488722,12.2623801618913
"97",49,0,1.96343037144927,0.89,0.8,1.1260333603763,0.112903225806452,4.60600831362425
"98",49,1,6.81610293784207,0.98,0.92,1.43826147285342,0.806201550387597,21.1113431096897
"99",50,0,1.1467427208945,0.88,0.72,1.04481348938336,0.0163934426229508,2.58222440593856
"100",50,1,4.1106474212978,0.99,1.04,1.31797588040921,0.72,18.3496933128028
"101",51,0,0.973728991120295,0.73,0.48,1.06874532279093,0.356435643564356,4.37283413714427
"102",51,1,3.18894642638362,1,1.04,1.20097355576972,0.364406779661017,13.6224772490827
"103",52,0,1.32049161799973,0.81,0.62,1.11880708953209,0.330357142857143,5.74275368697242
"104",52,1,3.57942108715207,0.96,0.82,1.32223797529885,0.596774193548387,16.1112057877497
"105",53,0,0.286854866240254,0.55,0,1.03621350512953,0.0551181102362205,2.19467215454563
"106",53,1,6.56195092941116,0.99,1,1.1875969264559,0.407407407407407,9.89621175899316
"107",54,0,1.56892908110547,0.94,0.74,1.08414578055244,0.2,5.43324397580754
"108",54,1,2.66578178464864,0.99,1.06,1.25204795963633,0.791666666666667,14.8410700648253
"109",55,0,3.16783837971573,0.93,0.8,1.08858298427286,0.153846153846154,2.59656436910965
"110",55,1,-0.178885438199983,0.42,-0.16,1.00433240030181,0.0551181102362205,1.44662499667539
"111",56,0,0.617270812378128,0.7,0.24,1.04520920053828,0.0677966101694915,1.15549474463084
"112",56,1,5.84237394672177,1,1.06,1.3715631248797,0.770992366412214,19.7214560630248
"113",57,0,1.04307238483242,0.71,0.32,1.05753910551841,0.112903225806452,2.9145227894452
"114",57,1,7.79236428668928,1,0.94,1.4435349048998,0.748201438848921,18.5814179945661
"115",58,0,0.312288023343531,0.58,0.24,1.03311801879569,0.0756302521008403,1.5642403651534
"116",58,1,3.28561154783143,1,0.96,1.15138398026447,0.302325581395349,10.1982584583184
"117",59,0,0.805283756020723,0.76,0.56,1.07530780452478,0.316239316239316,4.77978748921522
"118",59,1,1.75411603861406,0.92,0.9,1.12999478494129,0.256198347107438,9.56560003582458
"119",60,0,1.74076444976488,0.82,0.64,1.16381547610208,0.409448818897638,5.4495130401972
"120",60,1,2.24526852942599,0.85,0.64,1.21520620831253,0.594594594594595,13.3574914560001
"121",61,0,1.86676190233249,0.91,0.84,1.10541800247409,0.125,4.51557708157208
