"","preds","lci","uci"
"1",-2.73862101701847,-3.46384342504914,-1.95951240844036
"2",-2.3650860315599,-3.04276928775912,-1.64272357732055
"3",-1.99155104610133,-2.62200650397053,-1.32593474620074
"4",-1.61801606064276,-2.21016827652954,-1.00902832683957
"5",-1.24448107518418,-1.80977420224074,-0.679820527744313
"6",-0.870946089725614,-1.40938012795194,-0.334188248907808
"7",-0.497411104267043,-1.00969161406759,0.0191291837138291
"8",-0.123876118808472,-0.616353571541759,0.402185643849665
"9",0.249658866650099,-0.264428896860765,0.811885102536111
"10",0.623193852108669,0.0687797713473215,1.20967169281917
"11",0.99672883756724,0.428306360391546,1.63096032875246
"12",1.37026382302581,0.756505515851429,2.05070840638913
"13",1.74379880848438,1.08470467131131,2.47477618573572
"14",2.11733379394295,1.4129038267712,2.901557265798
"15",2.49086877940152,1.74285018979284,3.32833834586029
